"Timestamp","Surviving_Generations","Relative_Time_Spent_in_GC"
"01.05.2011 14:03:51","1","6"
"01.05.2011 14:03:53","3","6"
"01.05.2011 14:03:54","6","7"
"01.05.2011 14:03:55","12","28"
"01.05.2011 14:03:56","18","52"
"01.05.2011 14:03:58","22","12"
"01.05.2011 14:03:59","31","185"
"01.05.2011 14:04:00","37","105"
"01.05.2011 14:04:01","42","83"
"01.05.2011 14:04:02","46","55"
"01.05.2011 14:04:04","47","57"
"01.05.2011 14:04:05","49","46"
"01.05.2011 14:04:06","51","71"
"01.05.2011 14:04:07","55","53"
"01.05.2011 14:04:08","58","11"
"01.05.2011 14:04:10","63","94"
"01.05.2011 14:04:11","66","53"
"01.05.2011 14:04:12","71","10"
"01.05.2011 14:04:13","75","61"
"01.05.2011 14:04:14","80","57"
"01.05.2011 14:04:16","82","16"
"01.05.2011 14:04:17","85","46"
"01.05.2011 14:04:18","88","168"
"01.05.2011 14:04:19","94","156"
"01.05.2011 14:04:20","96","13"
"01.05.2011 14:04:22","97","9"
"01.05.2011 14:04:23","98","7"
"01.05.2011 14:04:24","104","6"
"01.05.2011 14:04:25","107","6"
"01.05.2011 14:04:27","108","6"
"01.05.2011 14:04:28","111","5"
"01.05.2011 14:04:29","115","5"
"01.05.2011 14:04:30","118","6"
"01.05.2011 14:04:31","119","5"
"01.05.2011 14:04:33","119","4"
"01.05.2011 14:04:34","119","3"
"01.05.2011 14:04:35","121","4"
"01.05.2011 14:04:36","130","12"
"01.05.2011 14:04:37","138","18"
"01.05.2011 14:04:39","146","18"
"01.05.2011 14:04:40","156","19"
"01.05.2011 14:04:41","164","18"
"01.05.2011 14:04:42","173","20"
"01.05.2011 14:04:43","182","20"
"01.05.2011 14:04:45","193","21"
"01.05.2011 14:04:46","203","19"
"01.05.2011 14:04:47","212","22"
"01.05.2011 14:04:49","223","18"
"01.05.2011 14:04:50","233","18"
"01.05.2011 14:04:51","242","19"
"01.05.2011 14:04:52","247","14"
"01.05.2011 14:04:54","250","10"
"01.05.2011 14:04:55","257","13"
"01.05.2011 14:04:56","266","20"
"01.05.2011 14:04:57","275","20"
